id	group	file
A141	M	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339769_C141_filtered_feature_bc_matrix.h5
A142	M	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339770_C142_filtered_feature_bc_matrix.h5
A143	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339771_C143_filtered_feature_bc_matrix.h5
A144	M	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339772_C144_filtered_feature_bc_matrix.h5
A145	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339773_C145_filtered_feature_bc_matrix.h5
A51	C	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475048_C51_filtered_feature_bc_matrix.h5
A52	C	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475049_C52_filtered_feature_bc_matrix.h5
A100	C	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475050_C100_filtered_feature_bc_matrix.h5
A148	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475051_C148_filtered_feature_bc_matrix.h5
A152	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475053_C152_filtered_feature_bc_matrix.h5
B141	M	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339769_C141_filtered_feature_bc_matrix.h5
B142	M	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339770_C142_filtered_feature_bc_matrix.h5
B143	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339771_C143_filtered_feature_bc_matrix.h5
B144	M	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339772_C144_filtered_feature_bc_matrix.h5
B145	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339773_C145_filtered_feature_bc_matrix.h5
B51	C	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475048_C51_filtered_feature_bc_matrix.h5
B52	C	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475049_C52_filtered_feature_bc_matrix.h5
B100	C	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475050_C100_filtered_feature_bc_matrix.h5
B148	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475051_C148_filtered_feature_bc_matrix.h5
B152	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475053_C152_filtered_feature_bc_matrix.h5
C141	M	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339769_C141_filtered_feature_bc_matrix.h5
C142	M	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339770_C142_filtered_feature_bc_matrix.h5
C143	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339771_C143_filtered_feature_bc_matrix.h5
C144	M	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339772_C144_filtered_feature_bc_matrix.h5
C145	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4339773_C145_filtered_feature_bc_matrix.h5
C51	C	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475048_C51_filtered_feature_bc_matrix.h5
C52	C	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475049_C52_filtered_feature_bc_matrix.h5
C100	C	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475050_C100_filtered_feature_bc_matrix.h5
C148	S	/apps/COMPSs/PerMedCoE/resources/covid-19-workflow/Resources/data/GSE145926_covid19/GSM4475051_C148_filtered_feature_bc_matrix.h5
